id	name	area_sqkm	center_lat	center_lng	other_names	lg_code	province_id	district_id	dsd_id	ed_id	pd_id
LG-11011	Colombo MC	46.87	6.923685	79.862741		11	LK-1	LK-11		EC-01	
LG-11012	Dehiwala Mount Lavinia MC	21.32	6.839519	79.876964		12	LK-1	LK-11		EC-01	
LG-11013	Moratuwa MC	19.3	6.782566	79.890891		13	LK-1	LK-11	LK-1133	EC-01	EC-01O
LG-11014	Sri Jayawardanapura Kotte MC	16.32	6.891034	79.898428		14	LK-1	LK-11	LK-1124	EC-01	EC-01I
LG-11015	Kaduwela MC	86.74	6.903511	79.977309		15	LK-1	LK-11	LK-1109	EC-01	EC-01J
LG-11021	Kolonnawa UC	5.12	6.938501	79.887787		21	LK-1	LK-11	LK-1106	EC-01	EC-01H
LG-11022	Seethawakapura UC	20.65	6.954033	80.200223		22	LK-1	LK-11	LK-1115	EC-01	EC-01K
LG-11023	Maharagama UC	37.8	6.856502	79.941942		23	LK-1	LK-11	LK-1121	EC-01	EC-01M
LG-11024	Kesbewa UC	50.54	6.794944	79.93389		24	LK-1	LK-11	LK-1136	EC-01	EC-01N
LG-11025	Boralesgamuwa UC	10.87	6.838445	79.902511		25	LK-1	LK-11	LK-1136	EC-01	EC-01N
LG-11031	Homagama PS	139.34	6.831555	80.022149		31	LK-1	LK-11		EC-01	
LG-11033	Kotikawatta-Mullariyawa PS	20.81	6.933354	79.921913		33	LK-1	LK-11	LK-1106	EC-01	EC-01H
LG-11034	Seethawaka PS	212.5	6.884347	80.136868		34	LK-1	LK-11		EC-01	EC-01K
LG-12011	Negombo MC	30.4	7.21369	79.845016		11	LK-1	LK-12		EC-02	
LG-12012	Gampaha MC	27.89	7.093769	80.023852		12	LK-1	LK-12	LK-1224	EC-02	EC-02H
LG-12022	Ja- Ela UC	7.91	7.071388	79.887224		22	LK-1	LK-12	LK-1221	EC-02	EC-02I
LG-12023	Katunayaka- Seeduwa UC/Katana PS	23.44	7.157189	79.878895		23/37	LK-1	LK-12	LK-1206	EC-02	EC-02C
LG-12024	Minuwangoda UC	3.64	7.170623	79.952499		24	LK-1	LK-12	LK-1215	EC-02	EC-02F
LG-12025	Peliyagoda UC	3.81	6.963016	79.88928		25	LK-1	LK-12	LK-1236	EC-02	EC-02M
LG-12026	Wattala - Mabola UC	3.95	6.989689	79.894309		26	LK-1	LK-12	LK-1218	EC-02	EC-02A
LG-12031	Attanagalla PS	154.83	7.114342	80.109868		31	LK-1	LK-12	LK-1227	EC-02	EC-02G
LG-12032	Biyagama PS	61.01	6.968689	79.978247		32	LK-1	LK-12	LK-1239	EC-02	EC-02L
LG-12033	Divulapitiya PS	203.16	7.253922	80.006882		33	LK-1	LK-12	LK-1209	EC-02	EC-02D
LG-12034	Dompe PS	179.18	6.990491	80.098929		34	LK-1	LK-12	LK-1230	EC-02	EC-02K
LG-12035	Gampaha PS	63.93	7.06141	79.981326		35	LK-1	LK-12	LK-1224	EC-02	EC-02H
LG-12036	Ja- Ela PS	54.54	7.072131	79.912021		36	LK-1	LK-12	LK-1221	EC-02	EC-02I
LG-12037	Katana PS	83.15	7.203003	79.893504		37	LK-1	LK-12	LK-1206	EC-02	EC-02C
LG-12038	Kelaniya PS	18.13	6.9719	79.914193		38	LK-1	LK-12	LK-1236	EC-02	EC-02M
LG-12039	Mahara PS	95.75	7.029309	80.01439		39	LK-1	LK-12	LK-1233	EC-02	EC-02J
LG-12040	Minuwangoda PS	128.48	7.154593	79.979797		40	LK-1	LK-12	LK-1215	EC-02	EC-02F
LG-12041	Mirigama PS	188.81	7.225181	80.12288		41	LK-1	LK-12	LK-1212	EC-02	EC-02E
LG-12042	Wattala PS	53.22	7.038584	79.88011		42	LK-1	LK-12	LK-1218	EC-02	EC-02A
LG-13011	Kalutara MC	20.76	6.574697	79.973975		11	LK-1	LK-13	LK-1321	EC-03	EC-03F
LG-13021	Beruwala UC	4.73	6.470168	79.98435		21	LK-1	LK-13	LK-1324	EC-03	EC-03G
LG-13022	Horana UC/Horana PS	5.01	6.716079	80.064276		22/36	LK-1	LK-13	LK-1309	EC-03	EC-03C
LG-13024	Panadura UC/Panadura PS	7.45	6.714246	79.912254		24/39	LK-1	LK-13	LK-1303	EC-03	EC-03A
LG-13031	Agalawatta PS	92.24	6.515637	80.174536		31	LK-1	LK-13	LK-1333	EC-03	
LG-13032	Bandaragama PS	57.08	6.718529	79.975934		32	LK-1	LK-13	LK-1306	EC-03	EC-03B
LG-13033	Beruwala PS	68.79	6.490077	80.006139		33	LK-1	LK-13	LK-1324	EC-03	EC-03G
LG-13034	Bulathsinhala PS	211.03	6.648237	80.174565		34	LK-1	LK-13	LK-1312	EC-03	EC-03D
LG-13035	Dodangoda PS	109.85	6.571467	80.044831		35	LK-1	LK-13	LK-1327	EC-03	EC-03E
LG-13036	Horana PS	201.04	6.760308	80.100775		36	LK-1	LK-13		EC-03	EC-03C
LG-13037	Kalutara PS	54.81	6.637438	79.970166		37	LK-1	LK-13	LK-1321	EC-03	EC-03F
LG-13038	Mathugama PS	138.88	6.488	80.090993		38	LK-1	LK-13	LK-1330	EC-03	EC-03E
LG-13039	Panadura PS	37.95	6.716098	79.92523		39	LK-1	LK-13	LK-1303	EC-03	
LG-13040	Walallawita PS	211.65	6.406665	80.187579		40	LK-1	LK-13	LK-1339	EC-03	EC-03H
LG-13041	Madurawala PS	62.19	6.651918	80.093422		41	LK-1	LK-13	LK-1315	EC-03	EC-03D
LG-13042	Palindanuwara PS	284.12	6.506966	80.274635		42	LK-1	LK-13	LK-1336	EC-03	EC-03H
LG-13043	Millaniya PS	79.42	6.658585	80.031028		43	LK-1	LK-13	LK-1318	EC-03	EC-03B
LG-21011	Kandy MC/ Pathadumbara PS	29.09	7.292359	80.629803		11/40	LK-2	LK-21		EC-04	
LG-21021	Gampola UC	13.92	7.169488	80.571736		21	LK-2	LK-21	LK-2151	EC-04	EC-04L
LG-21022	Kadugannawa UC/Yatinuwara PS	7.81	7.262628	80.538077		22/47	LK-2	LK-21	LK-2136	EC-04	EC-04J
LG-21023	Nawalapitiya UC/Pasbage Korale PS	14.54	7.047561	80.540675		23/39	LK-2	LK-21	LK-2157	EC-04	EC-04M
LG-21024	Wattegama UC/ Pathadumbara PS	9.49	7.351362	80.678548		24/40	LK-2	LK-21	LK-2112	EC-04	EC-04C
LG-21025	Medadumbara PS	0.89	7.3365	80.79031		25	LK-2	LK-21	LK-2124	EC-04	EC-04E
LG-21031	Akurana PS	29.9	7.391395	80.617968		31	LK-2	LK-21	LK-2109	EC-04	EC-04B
LG-21032	Ganga Ihala Korale	96.17	7.112563	80.512388		32	LK-2	LK-21	LK-2154	EC-04	EC-04M
LG-21033	Harispattuwa PS	49.04	7.328489	80.587938		33	LK-2	LK-21	LK-2133	EC-04	EC-04B
LG-21034	Kandy Four Graverts &Gangawata Korale PS	31.99	7.258323	80.646016		34	LK-2	LK-21	LK-2130	EC-04	
LG-21035	Medadumbara PS	82.37	7.305974	80.709274		35	LK-2	LK-21		EC-04	
LG-21036	Medadumbara PS	186.74	7.302292	80.800531		36	LK-2	LK-21	LK-2124	EC-04	EC-04E
LG-21037	Minipe PS	249.31	7.348541	80.949201		37	LK-2	LK-21	LK-2121	EC-04	EC-04D
LG-21038	Panvila PS	92.63	7.409011	80.742498		38	LK-2	LK-21	LK-2115	EC-04	EC-04C
LG-21039	Pasbage Korale PS	107.03	7.014613	80.536217		39	LK-2	LK-21	LK-2157	EC-04	EC-04M
