id	name	area_sqkm	center_lat	center_lng	province_id	ed_id	pd_id
LK-11	Colombo	688.17	6.869822	80.018487	LK-1	EC-01	
LK-12	Gampaha	1385.23	7.123406	80.018206	LK-1	EC-02	
LK-13	Kalutara	1646.99	6.577185	80.127744	LK-1	EC-03	
LK-21	Kandy	1927.69	7.273178	80.708811	LK-2	EC-04	
LK-22	Matale	2058.75	7.667651	80.730702	LK-2	EC-05	
LK-23	Nuwara Eliya	1744.81	6.974738	80.711186	LK-2	EC-06	
LK-31	Galle	1613.49	6.222792	80.251811	LK-3	EC-07	
LK-32	Matara	1306.37	6.142725	80.539846	LK-3	EC-08	
LK-33	Hambantota	2625.06	6.254039	81.091281	LK-3	EC-09	
LK-41	Jaffna	1091.24	9.687873	80.116157	LK-4	EC-10	
LK-42	Mannar	2010.83	8.878476	80.091433	LK-4	EC-11	EC-11A
LK-43	Vavuniya	1934.91	8.853162	80.470869	LK-4	EC-11	EC-11B
LK-44	Mullaitivu	2681.15	9.170128	80.552726	LK-4	EC-11	
LK-45	Kilinochchi	1319.29	9.421424	80.309356	LK-4	EC-10	EC-10K
LK-51	Batticaloa	2480.5	7.795426	81.478872	LK-5	EC-12	
LK-52	Ampara	4474.66	7.233261	81.553888	LK-5	EC-13	
LK-53	Trincomalee	2692.11	8.553962	81.091548	LK-5	EC-14	
LK-61	Kurunegala	4905.71	7.664511	80.236804	LK-6	EC-15	
LK-62	Puttalam	3133.88	7.975263	79.910874	LK-6	EC-16	
LK-71	Anuradhapura	7218.29	8.392067	80.51313	LK-7	EC-17	
LK-72	Polonnaruwa	3469.72	7.994209	81.028281	LK-7	EC-18	
LK-81	Badulla	2871.96	7.073578	81.044926	LK-8	EC-19	
LK-82	Monaragala	5757.99	6.787062	81.301821	LK-8	EC-20	
LK-91	Ratnapura	3287.08	6.586622	80.565541	LK-9	EC-21	
LK-92	Kegalle	1657.73	7.104294	80.342772	LK-9	EC-22	
