id	name	area_sqkm	center_lat	center_lng	other_names	province_id	district_id
EC-01	Colombo	688.17	6.869822	80.018487		LK-1	LK-11
EC-02	Gampaha	1385.23	7.123406	80.018206		LK-1	LK-12
EC-03	Kalutara	1646.99	6.577185	80.127744		LK-1	LK-13
EC-04	Kandy	1927.69	7.273178	80.708811		LK-2	LK-21
EC-05	Matale	2058.75	7.667651	80.730702		LK-2	LK-22
EC-06	Nuwara-Eliya	1744.81	6.974738	80.711186		LK-2	LK-23
EC-07	Galle	1613.49	6.222792	80.251811		LK-3	LK-31
EC-08	Matara	1306.37	6.142725	80.539846		LK-3	LK-32
EC-09	Hambantota	2625.06	6.254039	81.091281		LK-3	LK-33
EC-10	Jaffna	2409.6	9.542014	80.221882		LK-4	
EC-11	Vanni	6626.89	8.989083	80.388853		LK-4	
EC-12	Batticaloa	2469.9	7.79607	81.47809		LK-5	LK-51
EC-13	Digamadulla	4474.66	7.233261	81.553888		LK-5	LK-52
EC-14	Trincomalee	2692.11	8.553962	81.091548		LK-5	LK-53
EC-15	Kurunegala	4905.71	7.664511	80.236804		LK-6	LK-61
EC-16	Puttalam	3133.88	7.975263	79.910874		LK-6	LK-62
EC-17	Anuradhapura	7218.29	8.392067	80.51313		LK-7	LK-71
EC-18	Polonnaruwa	3469.72	7.994209	81.028281		LK-7	LK-72
EC-19	Badulla	2871.96	7.073578	81.044926		LK-8	LK-81
EC-20	Moneragala	5757.99	6.787062	81.301821		LK-8	LK-82
EC-21	Ratnapura	3287.08	6.586622	80.565541		LK-9	LK-91
EC-22	Kegalle	1657.73	7.104294	80.342772		LK-9	LK-92
